exp_id,condition,species_id,f1,precision,recall,scientific_name
exp_0001_Cmedian_gap_pow_p0.5_mid_focal,C,1618661,0.8251082251082251,,,Dendrobium victoriae-reginae Loher
exp_0001_Cmedian_gap_pow_p0.5_mid_focal,D,1356076,0.1469298245614035,,,Tradescantia zebrina Heynh. ex Bosse
exp_0001_Cmedian_gap_pow_p0.5_mid_focal,D,1376703,0.6626984126984127,,,Petiveria alliacea L.
exp_0001_Cmedian_gap_pow_p0.5_mid_focal,D,1384499,0.7528735632183908,,,Lagenaria siceraria (Molina) Standl.
exp_0001_Cmedian_gap_pow_p0.5_mid_focal,D,1385700,0.6981818181818182,,,Barringtonia asiatica (L.) Kurz
exp_0001_Cmedian_gap_pow_p0.5_mid_focal,D,1392654,0.7405222734254991,,,Gomphocarpus physocarpus E.Mey.
exp_0001_Cmedian_gap_pow_p0.5_mid_focal,D,1397598,0.7568922305764411,,,Cobaea scandens Cav.
exp_0001_Cmedian_gap_pow_p0.5_mid_focal,D,1406486,0.5031746031746032,,,Kigelia africana (Lam.) Benth.
exp_0001_Cmedian_gap_pow_p0.5_mid_focal,D,1406863,0.5393719806763285,,,Acalypha indica L.
exp_0001_Cmedian_gap_pow_p0.5_mid_focal,D,1408490,0.5862299465240642,,,Pereskia grandifolia Haw.
exp_0001_Cmedian_gap_pow_p0.5_mid_focal,D,1408557,0.6134615384615385,,,Pongamia pinnata (L.) Pierre
exp_0001_Cmedian_gap_pow_p0.5_mid_focal,D,1409195,0.5094017094017094,,,Pereskia aculeata Mill.
exp_0001_Cmedian_gap_pow_p0.5_mid_focal,D,1416509,0.7454545454545455,,,Nepenthes vieillardii Hook. f.
exp_0001_Cmedian_gap_pow_p0.5_mid_focal,D,1419807,0.8222222222222223,,,Vanilla planifolia Jacks. ex Andrews
exp_0001_Cmedian_gap_pow_p0.5_mid_focal,D,1420787,0.8649237472766885,,,Alocasia odora (Lindl.) K.Koch
exp_0001_Cmedian_gap_pow_p0.5_mid_focal,D,1618661,0.85,,,Dendrobium victoriae-reginae Loher
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,A,1356076,0.25277777777777777,,,Tradescantia zebrina Heynh. ex Bosse
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,A,1376703,0.4777777777777777,,,Petiveria alliacea L.
